District,City,Town,EnergyCertificate,Floor,Parking,ConstructionYear,TotalArea,Garage,TotalRooms,NumberOfBedrooms,LivingArea,NumberOfBathrooms,Price
0,4,4,4,0.0,3.0,2023.0,265.0,1.1860649819494584,4.0,2.309241877256318,265.0,2.0,699600.0
0,4,4,4,2.0,3.0,2023.0,132.0,1.1860649819494584,2.0,2.309241877256318,132.0,1.0,424000.0
0,3,3,4,0.0,1.0,2023.0,750.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,280000.0
0,3,3,4,1.0,1.0,2023.0,750.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,300000.0
0,3,3,4,3.0,2.0,2023.0,750.0,1.1860649819494584,3.0,2.309241877256318,107.0,3.0,390000.0
0,3,3,4,2.0,1.0,2023.0,750.0,1.1860649819494584,3.0,2.309241877256318,107.0,2.0,360000.0
0,3,3,4,7.0,1.0,2023.0,750.0,1.1860649819494584,1.0,2.309241877256318,61.0,1.0,285000.0
0,3,3,4,7.0,1.0,2023.0,750.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,340000.0
0,4,4,4,0.0,3.0,2023.0,196.0,1.1860649819494584,3.0,2.309241877256318,196.0,1.0,583000.0
0,4,4,4,3.0,3.0,2023.0,232.0,1.1860649819494584,3.0,2.309241877256318,232.0,1.0,630700.0
0,4,4,4,7.0,3.0,2023.0,145.0,1.1860649819494584,2.0,2.309241877256318,145.0,1.0,455800.0
0,4,4,4,3.0,3.0,2023.0,133.0,1.1860649819494584,2.0,2.309241877256318,133.0,1.0,434600.0
0,4,4,4,9.0,3.0,2023.0,315.0,1.1860649819494584,4.0,2.309241877256318,315.0,2.0,1081200.0
0,4,4,4,4.0,3.0,2023.0,132.0,1.1860649819494584,2.0,2.309241877256318,132.0,1.0,445200.0
0,4,4,4,7.0,3.0,2023.0,218.0,1.1860649819494584,3.0,2.309241877256318,218.0,1.0,620100.0
0,4,4,4,0.0,3.0,2023.0,147.0,1.1860649819494584,2.0,2.309241877256318,147.0,1.0,418700.0
0,3,3,3,1.0,1.0,2004.0,90.0,1.1860649819494584,2.0,2.309241877256318,90.0,2.0,338000.0
0,3,3,4,0.0,1.0,2023.0,114.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,362500.0
0,6,11,4,5.0,3.0,2023.0,171.0,1.1860649819494584,3.0,2.309241877256318,171.0,1.8961387800783436,335000.0
0,6,11,4,5.0,3.0,2023.0,144.0,1.1860649819494584,2.0,2.309241877256318,144.0,1.0,295000.0
0,6,11,4,1.0,3.0,2023.0,146.0,1.1860649819494584,3.0,2.309241877256318,146.0,1.8961387800783436,395000.0
0,3,3,4,9.0,1.0,2023.0,99.0,1.1860649819494584,2.0,2.309241877256318,99.0,2.0,297500.0
0,1,1,3,1.0,3.0,2001.0,78.0,1.1860649819494584,1.0,2.309241877256318,57.0,1.8961387800783436,230000.0
0,12,23,5,0.0,2.0,2009.0,120.0,1.1860649819494584,2.0,2.309241877256318,82.0,2.0,355000.0
0,3,3,4,7.0,1.0,2023.0,162.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,382500.0
0,3,3,4,4.0,1.0,2023.0,114.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,377500.0
0,6,11,4,1.0,3.0,2023.0,155.0,1.1860649819494584,3.0,2.309241877256318,155.0,1.8961387800783436,395000.0
0,6,11,4,0.0,3.0,2023.0,150.0,1.1860649819494584,3.0,2.309241877256318,150.0,1.8961387800783436,420000.0
0,4,4,4,9.0,3.0,2023.0,312.0,1.1860649819494584,4.0,2.309241877256318,312.0,1.8961387800783436,1028200.0
0,6,11,4,5.0,3.0,2023.0,102.0,1.1860649819494584,2.0,2.309241877256318,102.0,1.8961387800783436,285000.0
0,1,1,2,2.0,0.0,1990.0,105.0,1.1860649819494584,1.0,2.309241877256318,95.0,2.0,235000.0
0,3,3,4,2.0,1.0,2023.0,114.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,367500.0
0,3,3,4,4.0,1.0,2023.0,99.0,1.1860649819494584,2.0,2.309241877256318,99.0,2.0,287500.0
0,3,3,4,4.0,1.0,2023.0,114.0,1.1860649819494584,3.0,2.309241877256318,114.0,2.0,377500.0
0,3,3,4,9.0,1.0,2023.0,99.0,1.1860649819494584,2.0,2.309241877256318,99.0,2.0,297500.0
0,1,1,3,2.0,0.0,2007.0,94.0,1.1860649819494584,2.0,2.309241877256318,94.0,2.0,500000.0
0,3,3,3,1.0,0.0,1972.0,329.0,1.1860649819494584,5.0,2.309241877256318,123.0,2.0,225000.0
0,1,1,1,3.0,0.0,1989.0,40.0,1.1860649819494584,2.68557624083522,2.309241877256318,40.0,1.0,3500.0
0,6,11,4,1.0,3.0,2023.0,128.0,1.1860649819494584,2.0,2.309241877256318,128.0,1.8961387800783436,350000.0
0,4,4,4,7.0,3.0,2023.0,145.0,1.1860649819494584,2.0,2.309241877256318,145.0,1.0,455800.0
0,4,4,0,1.0,3.0,2023.0,146.0,1.1860649819494584,2.0,2.309241877256318,146.0,1.0,413400.0
0,6,8,7,1.0,1.0,1988.0,59.0,1.1860649819494584,1.0,2.309241877256318,59.0,1.0,265000.0
0,3,3,4,5.0,1.0,2023.0,88.0,1.1860649819494584,3.0,2.309241877256318,88.0,2.0,352500.0
0,1,1,7,4.0,1.0,2003.0,88.0,1.1860649819494584,1.0,2.309241877256318,88.0,1.8961387800783436,195000.0
0,3,3,4,7.0,1.0,2023.0,99.0,1.1860649819494584,2.0,2.309241877256318,99.0,2.0,292500.0
